...1,GEOID_20,tract_number_20,reporter_URL,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
175,10003016611,16611,https://censusreporter.org/profiles/14000US10003016611,10,003,016611,166.11,Census Tract 166.11,G5020,S,25734361,710740,+39.5223043,-075.6908419
176,10003016612,16612,https://censusreporter.org/profiles/14000US10003016612,10,003,016612,166.12,Census Tract 166.12,G5020,S,25544753,189008,+39.4805903,-075.6911324
177,10003016613,16613,https://censusreporter.org/profiles/14000US10003016613,10,003,016613,166.13,Census Tract 166.13,G5020,S,4306452,0,+39.4580597,-075.7040961
178,10003016614,16614,https://censusreporter.org/profiles/14000US10003016614,10,003,016614,166.14,Census Tract 166.14,G5020,S,12302700,526339,+39.4530985,-075.6756329
179,10003016805,16805,https://censusreporter.org/profiles/14000US10003016805,10,003,016805,168.05,Census Tract 168.05,G5020,S,46166904,0,+39.3508117,-075.7232541
180,10003016806,16806,https://censusreporter.org/profiles/14000US10003016806,10,003,016806,168.06,Census Tract 168.06,G5020,S,35430164,92114,+39.4043663,-075.7214521
181,10003016807,16807,https://censusreporter.org/profiles/14000US10003016807,10,003,016807,168.07,Census Tract 168.07,G5020,S,22572475,1500346,+39.4472925,-075.6175785
182,10003016808,16808,https://censusreporter.org/profiles/14000US10003016808,10,003,016808,168.08,Census Tract 168.08,G5020,S,38429963,1836093,+39.4061620,-075.6447895
183,10003016901,16901,https://censusreporter.org/profiles/14000US10003016901,10,003,016901,169.01,Census Tract 169.01,G5020,S,53638878,57606,+39.3186614,-075.6736781
184,10003016904,16904,https://censusreporter.org/profiles/14000US10003016904,10,003,016904,169.04,Census Tract 169.04,G5020,S,95345002,7431815,+39.3744719,-075.5757732
185,10003980100,980100,https://censusreporter.org/profiles/14000US10003980100,10,003,980100,9801,Census Tract 9801,G5020,S,5259494,2004492,+39.7296342,-075.5152342
186,10003990100,990100,https://censusreporter.org/profiles/14000US10003990100,10,003,990100,9901,Census Tract 9901,G5020,S,0,123246357,+39.5884233,-075.5353703
187,10005050101,50101,https://censusreporter.org/profiles/14000US10005050101,10,005,050101,501.01,Census Tract 501.01,G5020,S,51651467,339713,+38.8586250,-075.4731324
188,10005050103,50103,https://censusreporter.org/profiles/14000US10005050103,10,005,050103,501.03,Census Tract 501.03,G5020,S,121412448,9583565,+38.9003202,-075.3269701
189,10005050104,50104,https://censusreporter.org/profiles/14000US10005050104,10,005,050104,501.04,Census Tract 501.04,G5020,S,9453211,81821,+38.8985485,-075.4294925
190,10005050105,50105,https://censusreporter.org/profiles/14000US10005050105,10,005,050105,501.05,Census Tract 501.05,G5020,S,41879658,723134,+38.8575067,-075.3949474
191,10005050200,50200,https://censusreporter.org/profiles/14000US10005050200,10,005,050200,502,Census Tract 502,G5020,S,105965944,164966,+38.7823193,-075.4046488
192,10005050302,50302,https://censusreporter.org/profiles/14000US10005050302,10,005,050302,503.02,Census Tract 503.02,G5020,S,121748641,5288,+38.7828597,-075.5400516
193,10005050303,50303,https://censusreporter.org/profiles/14000US10005050303,10,005,050303,503.03,Census Tract 503.03,G5020,S,73001458,0,+38.8023731,-075.6438982
194,10005050304,50304,https://censusreporter.org/profiles/14000US10005050304,10,005,050304,503.04,Census Tract 503.04,G5020,S,83132859,8863,+38.7427932,-075.6695767
195,10005050401,50401,https://censusreporter.org/profiles/14000US10005050401,10,005,050401,504.01,Census Tract 504.01,G5020,S,89551372,1330071,+38.6445255,-075.6657735
196,10005050403,50403,https://censusreporter.org/profiles/14000US10005050403,10,005,050403,504.03,Census Tract 504.03,G5020,S,16960913,788960,+38.6152441,-075.6169436
197,10005050405,50405,https://censusreporter.org/profiles/14000US10005050405,10,005,050405,504.05,Census Tract 504.05,G5020,S,11324203,0,+38.6689165,-075.6275848
198,10005050406,50406,https://censusreporter.org/profiles/14000US10005050406,10,005,050406,504.06,Census Tract 504.06,G5020,S,14296447,456782,+38.6723012,-075.6073248
199,10005050407,50407,https://censusreporter.org/profiles/14000US10005050407,10,005,050407,504.07,Census Tract 504.07,G5020,S,49274664,720830,+38.6776146,-075.5526093
200,10005050408,50408,https://censusreporter.org/profiles/14000US10005050408,10,005,050408,504.08,Census Tract 504.08,G5020,S,60632028,443422,+38.6344590,-075.5268421
201,10005050501,50501,https://censusreporter.org/profiles/14000US10005050501,10,005,050501,505.01,Census Tract 505.01,G5020,S,110698240,677102,+38.6930150,-075.4367201
202,10005050503,50503,https://censusreporter.org/profiles/14000US10005050503,10,005,050503,505.03,Census Tract 505.03,G5020,S,26945661,0,+38.7247175,-075.3872263
203,10005050505,50505,https://censusreporter.org/profiles/14000US10005050505,10,005,050505,505.05,Census Tract 505.05,G5020,S,6524655,0,+38.6727970,-075.3741550
204,10005050506,50506,https://censusreporter.org/profiles/14000US10005050506,10,005,050506,505.06,Census Tract 505.06,G5020,S,39284996,228252,+38.6732275,-075.3370237
205,10005050601,50601,https://censusreporter.org/profiles/14000US10005050601,10,005,050601,506.01,Census Tract 506.01,G5020,S,96441583,629895,+38.6014626,-075.3754891
206,10005050603,50603,https://censusreporter.org/profiles/14000US10005050603,10,005,050603,506.03,Census Tract 506.03,G5020,S,5175390,325948,+38.5890653,-075.3126364
207,10005050604,50604,https://censusreporter.org/profiles/14000US10005050604,10,005,050604,506.04,Census Tract 506.04,G5020,S,23433706,759597,+38.5582558,-075.2963156
208,10005050701,50701,https://censusreporter.org/profiles/14000US10005050701,10,005,050701,507.01,Census Tract 507.01,G5020,S,63623143,56552,+38.6348589,-075.2534274
209,10005050703,50703,https://censusreporter.org/profiles/14000US10005050703,10,005,050703,507.03,Census Tract 507.03,G5020,S,13377962,3392136,+38.5953496,-075.2311317
210,10005050706,50706,https://censusreporter.org/profiles/14000US10005050706,10,005,050706,507.06,Census Tract 507.06,G5020,S,5473349,6877160,+38.6126915,-075.1351490
211,10005050707,50707,https://censusreporter.org/profiles/14000US10005050707,10,005,050707,507.07,Census Tract 507.07,G5020,S,4430094,224945,+38.6250573,-075.1712356
212,10005050708,50708,https://censusreporter.org/profiles/14000US10005050708,10,005,050708,507.08,Census Tract 507.08,G5020,S,7387278,2680507,+38.6084045,-075.1731350
213,10005050709,50709,https://censusreporter.org/profiles/14000US10005050709,10,005,050709,507.09,Census Tract 507.09,G5020,S,8201247,1129011,+38.6511616,-075.1736779
214,10005050710,50710,https://censusreporter.org/profiles/14000US10005050710,10,005,050710,507.10,Census Tract 507.10,G5020,S,4547632,900307,+38.6362971,-075.1532976
215,10005050711,50711,https://censusreporter.org/profiles/14000US10005050711,10,005,050711,507.11,Census Tract 507.11,G5020,S,3731354,4698832,+38.6297380,-075.1141222
216,10005050801,50801,https://censusreporter.org/profiles/14000US10005050801,10,005,050801,508.01,Census Tract 508.01,G5020,S,31415376,371580,+38.8045382,-075.3101471
217,10005050804,50804,https://censusreporter.org/profiles/14000US10005050804,10,005,050804,508.04,Census Tract 508.04,G5020,S,52105499,20702,+38.7025707,-075.2584356
218,10005050805,50805,https://censusreporter.org/profiles/14000US10005050805,10,005,050805,508.05,Census Tract 508.05,G5020,S,34841219,189205,+38.7353353,-075.3324184
219,10005050806,50806,https://censusreporter.org/profiles/14000US10005050806,10,005,050806,508.06,Census Tract 508.06,G5020,S,37017607,146131,+38.7601194,-075.2551308
220,10005050807,50807,https://censusreporter.org/profiles/14000US10005050807,10,005,050807,508.07,Census Tract 508.07,G5020,S,2435046,299279,+38.7536660,-075.2326063
221,10005050808,50808,https://censusreporter.org/profiles/14000US10005050808,10,005,050808,508.08,Census Tract 508.08,G5020,S,5767786,393311,+38.7507247,-075.1986670
222,10005050903,50903,https://censusreporter.org/profiles/14000US10005050903,10,005,050903,509.03,Census Tract 509.03,G5020,S,6037798,204514,+38.7740135,-075.1581720
223,10005050904,50904,https://censusreporter.org/profiles/14000US10005050904,10,005,050904,509.04,Census Tract 509.04,G5020,S,5321470,54656,+38.7608606,-075.1488440
224,10005050905,50905,https://censusreporter.org/profiles/14000US10005050905,10,005,050905,509.05,Census Tract 509.05,G5020,S,58994791,8697341,+38.7916515,-075.2178310
225,10005051008,51008,https://censusreporter.org/profiles/14000US10005051008,10,005,051008,510.08,Census Tract 510.08,G5020,S,7648434,14611,+38.7410843,-075.1356342
226,10005051009,51009,https://censusreporter.org/profiles/14000US10005051009,10,005,051009,510.09,Census Tract 510.09,G5020,S,12531385,25381,+38.7380906,-075.1102598
227,10005051010,51010,https://censusreporter.org/profiles/14000US10005051010,10,005,051010,510.10,Census Tract 510.10,G5020,S,12570798,246181,+38.7147997,-075.1624529
228,10005051011,51011,https://censusreporter.org/profiles/14000US10005051011,10,005,051011,510.11,Census Tract 510.11,G5020,S,7782284,45024,+38.7329306,-075.1792010
229,10005051012,51012,https://censusreporter.org/profiles/14000US10005051012,10,005,051012,510.12,Census Tract 510.12,G5020,S,6461163,213935,+38.6825449,-075.1704153
230,10005051013,51013,https://censusreporter.org/profiles/14000US10005051013,10,005,051013,510.13,Census Tract 510.13,G5020,S,21387629,133810,+38.6822087,-075.2046526
231,10005051014,51014,https://censusreporter.org/profiles/14000US10005051014,10,005,051014,510.14,Census Tract 510.14,G5020,S,8200696,9340648,+38.6656639,-075.1404735
232,10005051015,51015,https://censusreporter.org/profiles/14000US10005051015,10,005,051015,510.15,Census Tract 510.15,G5020,S,10644743,1913611,+38.7024755,-075.1502415
233,10005051016,51016,https://censusreporter.org/profiles/14000US10005051016,10,005,051016,510.16,Census Tract 510.16,G5020,S,3774727,1045274,+38.6967870,-075.1040405
234,10005051017,51017,https://censusreporter.org/profiles/14000US10005051017,10,005,051017,510.17,Census Tract 510.17,G5020,S,6505375,3780714,+38.7127053,-075.1314215
235,10005051101,51101,https://censusreporter.org/profiles/14000US10005051101,10,005,051101,511.01,Census Tract 511.01,G5020,S,2363153,1177604,+38.7246512,-075.0813080
236,10005051102,51102,https://censusreporter.org/profiles/14000US10005051102,10,005,051102,511.02,Census Tract 511.02,G5020,S,1916148,50299,+38.7095848,-075.0826663
237,10005051103,51103,https://censusreporter.org/profiles/14000US10005051103,10,005,051103,511.03,Census Tract 511.03,G5020,S,10381839,22756229,+38.6497729,-075.0786028
238,10005051201,51201,https://censusreporter.org/profiles/14000US10005051201,10,005,051201,512.01,Census Tract 512.01,G5020,S,10970302,10373621,+38.5853988,-075.0743771
239,10005051202,51202,https://censusreporter.org/profiles/14000US10005051202,10,005,051202,512.02,Census Tract 512.02,G5020,S,3865149,986213,+38.5517754,-075.0697839
240,10005051203,51203,https://censusreporter.org/profiles/14000US10005051203,10,005,051203,512.03,Census Tract 512.03,G5020,S,2366205,14437,+38.5318087,-075.0671513
241,10005051204,51204,https://censusreporter.org/profiles/14000US10005051204,10,005,051204,512.04,Census Tract 512.04,G5020,S,2584373,2261717,+38.5117964,-075.0539049
242,10005051205,51205,https://censusreporter.org/profiles/14000US10005051205,10,005,051205,512.05,Census Tract 512.05,G5020,S,3656418,3323490,+38.4775226,-075.0533451
243,10005051302,51302,https://censusreporter.org/profiles/14000US10005051302,10,005,051302,513.02,Census Tract 513.02,G5020,S,45390885,21164,+38.5154455,-075.1638200
244,10005051307,51307,https://censusreporter.org/profiles/14000US10005051307,10,005,051307,513.07,Census Tract 513.07,G5020,S,7122418,705505,+38.5648942,-075.1101812
245,10005051308,51308,https://censusreporter.org/profiles/14000US10005051308,10,005,051308,513.08,Census Tract 513.08,G5020,S,27129220,10531236,+38.5705511,-075.1509289
246,10005051309,51309,https://censusreporter.org/profiles/14000US10005051309,10,005,051309,513.09,Census Tract 513.09,G5020,S,4107441,2376553,+38.4682223,-075.0785055
247,10005051310,51310,https://censusreporter.org/profiles/14000US10005051310,10,005,051310,513.10,Census Tract 513.10,G5020,S,7717356,504836,+38.4875063,-075.1227190
248,10005051311,51311,https://censusreporter.org/profiles/14000US10005051311,10,005,051311,513.11,Census Tract 513.11,G5020,S,5228391,1359743,+38.4556525,-075.0968690
249,10005051312,51312,https://censusreporter.org/profiles/14000US10005051312,10,005,051312,513.12,Census Tract 513.12,G5020,S,18890377,300160,+38.4656497,-075.1450690
250,10005051313,51313,https://censusreporter.org/profiles/14000US10005051313,10,005,051313,513.13,Census Tract 513.13,G5020,S,7692068,49326,+38.5438368,-075.0988805
251,10005051314,51314,https://censusreporter.org/profiles/14000US10005051314,10,005,051314,513.14,Census Tract 513.14,G5020,S,18684335,4448812,+38.5107268,-075.0818958
252,10005051400,51400,https://censusreporter.org/profiles/14000US10005051400,10,005,051400,514,Census Tract 514,G5020,S,49909272,82229,+38.4688149,-075.2402646
253,10005051501,51501,https://censusreporter.org/profiles/14000US10005051501,10,005,051501,515.01,Census Tract 515.01,G5020,S,18347319,603141,+38.5290977,-075.2194073
254,10005051502,51502,https://censusreporter.org/profiles/14000US10005051502,10,005,051502,515.02,Census Tract 515.02,G5020,S,90264148,4087074,+38.5312188,-075.2688740
255,10005051701,51701,https://censusreporter.org/profiles/14000US10005051701,10,005,051701,517.01,Census Tract 517.01,G5020,S,120307973,386509,+38.5665780,-075.4749782
256,10005051702,51702,https://censusreporter.org/profiles/14000US10005051702,10,005,051702,517.02,Census Tract 517.02,G5020,S,176916227,765375,+38.4907852,-075.4509188
257,10005051801,51801,https://censusreporter.org/profiles/14000US10005051801,10,005,051801,518.01,Census Tract 518.01,G5020,S,75575619,1983437,+38.5554691,-075.6570857
258,10005051802,51802,https://censusreporter.org/profiles/14000US10005051802,10,005,051802,518.02,Census Tract 518.02,G5020,S,12119010,502554,+38.5385686,-075.5706918
259,10005051900,51900,https://censusreporter.org/profiles/14000US10005051900,10,005,051900,519,Census Tract 519,G5020,S,86847544,238943,+38.4886379,-075.6258541
260,10005980000,980000,https://censusreporter.org/profiles/14000US10005980000,10,005,980000,9800,Census Tract 9800,G5020,S,13274898,5204260,+38.7699472,-075.0964020
261,10005990000,990000,https://censusreporter.org/profiles/14000US10005990000,10,005,990000,9900,Census Tract 9900,G5020,S,0,534627917,+38.8648060,-075.2250098
